uf,municipio,bairro,categoria_macro
ES,CACHOEIRO DE ITAPEMIRIM,CAICARA,digital
ES,VITORIA,BONFIM,digital
ES,CASTELO,VILA NOVA,digital
ES,SERRA,JARDIM DA SERRA,digital
ES,CARIACICA,SAO GERALDO,digital
ES,PINHEIROS,CENTRO,digital
ES,VITORIA,FONTE GRANDE,digital
ES,VITORIA,MARUIPE,digital
ES,ANCHIETA,BAIRRO_NAO_INFORMADO,digital
ES,SANTA TERESA,DOIS PINHEIROS,digital
ES,MONTANHA,CENTRO,digital
ES,COLATINA,SANTO ANTONIO,digital
ES,PANCAS,CENTRO,digital
ES,PANCAS,LIRIO DOS VALES,digital
ES,VITORIA,DA PENHA,digital
ES,BARRA DE SAO FRANCISCO,PAULISTA,digital
ES,ANCHIETA,JUSTICA,digital
ES,VILA VELHA,PRAIA DAS GAIVOTAS,digital
ES,CARIACICA,APARECIDA,digital
ES,ALFREDO CHAVES,PARQUE RESIDENCIAL ALFREDO CHAVES,digital
ES,CACHOEIRO DE ITAPEMIRIM,DOUTOR GILBERTO MACHADO,digital
ES,COLATINA,ESPLANADA,digital
ES,CACHOEIRO DE ITAPEMIRIM,CENTRO,digital
ES,COLATINA,MARIA DAS GRACAS,digital
ES,VITORIA,BENTO FERREIRA,digital
ES,COLATINA,PADRE JOSE DE ANCHIETA,digital
ES,COLATINA,MARIA ISMENIA,digital
ES,SERRA,SERRA DOURADA I,digital
ES,VITORIA,SANTA HELENA,digital
ES,SERRA,OURIMAR,digital
ES,NOVA VENECIA,BEIRA RIO,digital
ES,VIANA,BOM PASTOR,digital
ES,CASTELO,BELA VISTA,digital
ES,CONCEICAO DA BARRA,ITAUNAS,digital
ES,PANCAS,CORREGO ESPINHO,digital
ES,ALFREDO CHAVES,SAO SEBASTIAO,digital
ES,COLATINA,CARLOS GERMANO NAUMANN,digital
ES,CARIACICA,CASTELO BRANCO,digital
ES,ANCHIETA,PORTAL DE ANCHIETA,digital
ES,CARIACICA,TUCUM,digital
ES,CARIACICA,TIRADENTES,digital
ES,BARRA DE SAO FRANCISCO,CENTRO,digital
ES,MANTENOPOLIS,SANTA LUZIA DE MANTENOPOLIS,digital
ES,CARIACICA,ALTO DA BOA VISTA,digital
ES,RIO NOVO DO SUL,CENTRO,digital
ES,VITORIA,CARATOIRA,digital
ES,ANCHIETA,CENTRO,digital
ES,COLATINA,MORADA DO SOL,digital
ES,CARIACICA,GRAUNA,digital
ES,CACHOEIRO DE ITAPEMIRIM,BAIRRO_NAO_INFORMADO,digital
ES,COLATINA,LACE,digital
ES,COLATINA,SANTA MONICA,digital
ES,GOVERNADOR LINDENBERG,NOVO BRASIL,digital
ES,SAO GABRIEL DA PALHA,BARRA SECA,digital
ES,VILA VELHA,ARGOLAS,digital
ES,GUARAPARI,IPIRANGA,digital
ES,VITORIA,NOVA PALESTINA,digital
ES,ANCHIETA,PRAIA DOS CASTELHANOS,digital
ES,ALFREDO CHAVES,BAIRRO_NAO_INFORMADO,digital
ES,BARRA DE SAO FRANCISCO,BAIRRO NOVA BARRA,digital
ES,COLATINA,ADELIA GIUBERTTI,digital
ES,SANTA TERESA,CORREGO SECO DE SAO JOAO,digital
ES,VARGEM ALTA,PAMBAL DE BAIXO,digital
ES,MANTENOPOLIS,BELA VISTA,digital
ES,COLATINA,VILA AMELIA,digital
ES,ARACRUZ,CENTRO EMPRESARIAL,digital
ES,ARACRUZ,DECARLI,digital
ES,VITORIA,PARQUE MOSCOSO,digital
ES,GUACUI,QUINCAS MACHADO,digital
ES,CASTELO,SAO MIGUEL,digital
ES,SERRA,JARDIM CARAPINA,digital
ES,COLATINA,VILA LENIRA,digital
ES,ALFREDO CHAVES,SANTA TEREZINHA,digital
ES,CASTELO,SANTA CLARA,digital
ES,COLATINA,MARIA DAS GRACAS II,digital
ES,SERRA,HELIO FERRAZ,digital
ES,SANTA TERESA,VARZEA ALEGRE,digital
ES,CACHOEIRO DE ITAPEMIRIM,GILBERTO MACHADO,digital
ES,CARIACICA,ALZIRA RAMOS,digital
ES,PIUMA,CENTRO,digital
ES,GUARAPARI,BALNEARIO MEAIPE,digital
ES,SANTA TERESA,RIO SALTINHO,digital
ES,PINHEIROS,JUNDIA,digital
ES,CASTELO,INDEPENDENCIA,digital
ES,COLATINA,RIVIERA,digital
ES,COLATINA,COLATINA VELHA,digital
