data_fato,hora_fato,grupo_incidente,tipo_incidente,uf,idade,genero,cor,municipio,bairro,tipo_local,fonte_dados,categoria_macro,ano,mes,mes_nome,data_mes,dia_da_semana_num,dia_da_semana,fim_de_semana,hora_num,periodo_dia,faixa_etaria
2025-04-06,12:30,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,27.0,1 - MASCULINO,PARDA,VILA VELHA,JABURUNA,VIA PÚBLICA,homicidios,violencia_social,2025.0,4.0,ABR,2025-04-01,6.0,DOM,True,12,TARDE,25_34
2025-04-07,20:39,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,65.0,1 - MASCULINO,PARDA,LINHARES,AVISO,VIA PÚBLICA,homicidios,violencia_social,2025.0,4.0,ABR,2025-04-01,0.0,SEG,False,20,NOITE,65_PLUS
2025-04-08,10:18,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,,1 - MASCULINO,PREJUDICADO,VILA VELHA,CENTRO,TERRENO BALDIO / CONSTRUÇÃO / MATA,homicidios,violencia_social,2025.0,4.0,ABR,2025-04-01,1.0,TER,False,10,MANHA,
2025-04-09,02:14,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,24.0,1 - MASCULINO,BRANCA,VIANA,BOM PASTOR,DOMICÍLIO,homicidios,violencia_social,2025.0,4.0,ABR,2025-04-01,2.0,QUA,False,2,MADRUGADA,18_24
2025-04-09,02:14,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,33.0,1 - MASCULINO,PARDA,VIANA,BOM PASTOR,DOMICÍLIO,homicidios,violencia_social,2025.0,4.0,ABR,2025-04-01,2.0,QUA,False,2,MADRUGADA,25_34
2025-04-10,00:36,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,26.0,1 - MASCULINO,PARDA,ECOPORANGA,CENTRO,ESTABELECIMENTO COMERCIAL,homicidios,violencia_social,2025.0,4.0,ABR,2025-04-01,3.0,QUI,False,0,MADRUGADA,25_34
2025-04-11,23:08,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,36.0,1 - MASCULINO,NEGRA,LINHARES,SAO RAFAEL,DOMICÍLIO,homicidios,violencia_social,2025.0,4.0,ABR,2025-04-01,4.0,SEX,False,23,NOITE,35_44
2025-04-11,22:35,CRIMES CONTRA A PESSOA,FEMINICÍDIO,ES,8.0,2 - FEMININO,PARDA,CARIACICA,ITAQUARI,DOMICÍLIO,homicidios,violencia_social,2025.0,4.0,ABR,2025-04-01,4.0,SEX,False,22,NOITE,0_14
2025-04-11,18:40,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,54.0,1 - MASCULINO,PARDA,JAGUARE,NOSSA SENHORA DE FATIMA,VIA PÚBLICA,homicidios,violencia_social,2025.0,4.0,ABR,2025-04-01,4.0,SEX,False,18,NOITE,45_54
2025-04-11,14:00,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,36.0,1 - MASCULINO,PARDA,MARATAIZES,BARRA DE ITAPEMIRIM,VIA PÚBLICA,homicidios,violencia_social,2025.0,4.0,ABR,2025-04-01,4.0,SEX,False,14,TARDE,35_44
2025-04-12,22:49,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,40.0,1 - MASCULINO,PARDA,SAO MATEUS,VITORIA,VIA PÚBLICA,homicidios,violencia_social,2025.0,4.0,ABR,2025-04-01,5.0,SAB,True,22,NOITE,35_44
2025-04-12,21:58,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,62.0,1 - MASCULINO,BRANCA,PINHEIROS,PINHEIRINHO,VIA PÚBLICA,homicidios,violencia_social,2025.0,4.0,ABR,2025-04-01,5.0,SAB,True,21,NOITE,55_64
