fonte_dados,categoria_macro,genero,cor,idade,faixa_etaria,municipio,bairro,sexo,cutis
homicidios,violencia_social,1 - MASCULINO,PARDA,45.0,45_54,SANTA LEOPOLDINA,CENTRO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,34.0,25_34,SAO GABRIEL DA PALHA,BOA VISTA,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,37.0,35_44,VILA VELHA,GLORIA,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,24.0,18_24,LINHARES,AVISO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,33.0,25_34,LINHARES,SANTA CRUZ,,
homicidios,violencia_social,1 - MASCULINO,PARDA,18.0,18_24,VILA VELHA,ALECRIM,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,47.0,45_54,CARIACICA,ITANGUA,,
homicidios,violencia_social,2 - FEMININO,BRANCA,64.0,55_64,SAO JOSE DO CALCADO,ZONA RURAL,,
homicidios,violencia_social,1 - MASCULINO,PARDA,54.0,45_54,MONTANHA,TRINTA DE MAIO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,18.0,18_24,SERRA,BAIRRO DAS LARANJEIRAS,,
homicidios,violencia_social,1 - MASCULINO,PARDA,19.0,18_24,BAIXO GUANDU,SAO VICENTE,,
homicidios,violencia_social,1 - MASCULINO,PARDA,37.0,35_44,GOVERNADOR LINDENBERG,NOVO BRASIL,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,33.0,25_34,VIANA,MORADA DE VILA BETHANIA,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,20.0,18_24,VITORIA,GOIABEIRAS,,
homicidios,violencia_social,2 - FEMININO,PARDA,15.0,15_17,VILA VELHA,PRIMEIRO DE MAIO,,
homicidios,violencia_social,2 - FEMININO,NEGRA,31.0,25_34,VILA VELHA,PRIMEIRO DE MAIO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,43.0,35_44,FUNDAO,ZONA RURAL,,
homicidios,violencia_social,1 - MASCULINO,PARDA,45.0,45_54,VIANA,CAMPO VERDE,,
homicidios,violencia_social,1 - MASCULINO,PARDA,40.0,35_44,VILA VELHA,DIVINO ESPIRITO SANTO,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,44.0,35_44,SERRA,JARDIM CARAPINA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,31.0,25_34,AGUIA BRANCA,CORREGO BOA VISTA DO ROCHEDO,,
homicidios,violencia_social,2 - FEMININO,BRANCA,27.0,25_34,SERRA,VISTA DA SERRA I,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,62.0,55_64,CARIACICA,SANTO ANDRE,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,26.0,25_34,ARACRUZ,VILA DO RIACHO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,37.0,35_44,SERRA,NOVA CARAPINA I,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,41.0,35_44,CARIACICA,NOVA ROSA DA PENHA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,46.0,45_54,LINHARES,ZONA RURAL,,
homicidios,violencia_social,1 - MASCULINO,AMARELA,50.0,45_54,PIUMA,CEU AZUL,,
homicidios,violencia_social,1 - MASCULINO,PARDA,38.0,35_44,SERRA,VILA NOVA DE COLARES,,
homicidios,violencia_social,2 - FEMININO,PARDA,43.0,35_44,CARIACICA,BUBU,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,41.0,35_44,BARRA DE SAO FRANCISCO,CAMPO NOVO,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,44.0,35_44,SERRA,SERRA DOURADA II,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,22.0,18_24,SAO GABRIEL DA PALHA,CACHOEIRA DA ONCA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,23.0,18_24,VITORIA,REDENCAO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,25.0,25_34,NOVA VENECIA,SANTO ANTONI DO QUINZE,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,48.0,45_54,IUNA,ZONA RURAL,,
homicidios,violencia_social,1 - MASCULINO,PARDA,20.0,18_24,CARIACICA,TUCUM,,
homicidios,violencia_social,2 - FEMININO,PARDA,27.0,25_34,CARIACICA,TUCUM,,
homicidios,violencia_social,1 - MASCULINO,PARDA,37.0,35_44,CARIACICA,CARIACICA SEDE,,
homicidios,violencia_social,1 - MASCULINO,PARDA,42.0,35_44,RIO BANANAL,ZONA RURAL,,
homicidios,violencia_social,1 - MASCULINO,PARDA,32.0,25_34,SERRA,ZONA RURAL,,
homicidios,violencia_social,1 - MASCULINO,PARDA,25.0,25_34,GUARAPARI,BELA VISTA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,30.0,25_34,SERRA,BALNEARIO DE CARAPEBUS,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,36.0,35_44,VIANA,AREINHA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,27.0,25_34,SAO MATEUS,SANTA MARIA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,49.0,45_54,CONCEICAO DO CASTELO,FORMOSA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,31.0,25_34,VILA VELHA,ALECRIM,,
homicidios,violencia_social,2 - FEMININO,PARDA,29.0,25_34,RIO BANANAL,ZONA RURAL,,
homicidios,violencia_social,1 - MASCULINO,PARDA,25.0,25_34,CARIACICA,GRAUNA,,
