_id,Nº OCORRENCIA,DATA DO FATO,HORA DO FATO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,IDADE,GENERO,COR,MUNICIPIO,BAIRRO,LOGRADOURO,TIPO LOCAL
206,57628427,2025-03-30T00:00:00,10:22,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES, ,1 - Masculino,Prejudicado,IBIRACU,PENDAGA,ROD BR 101,Via Pública
207,57627121,2025-03-30T00:00:00,05:41,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,15,1 - Masculino,Parda,PINHEIROS,SANTO ANTONIO,RUA VEREADOR ELPIDIO ROSA,Via Pública
208,57643483,2025-03-31T00:00:00,20:09,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,25,1 - Masculino,Parda,LINHARES,SANTA CRUZ,RUA ANTONIO SILVA ARAUJO,Domicílio
209,57634393,2025-03-31T00:00:00,23:17,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,34,1 - Masculino,Negra,LINHARES,RESIDENCIAL RIO DOCE,RUA MARIA DE OLIVEIRA DE SOUSA,Domicílio
210,57664332,2025-02-04T00:00:00,22:26,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,19,1 - Masculino,Parda,AGUA DOCE DO NORTE,CORREGO DO CEDRO,RUA IRACY MARQUES,Via Pública
211,57666465,2025-03-04T00:00:00,09:12,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,19,1 - Masculino,Parda,VILA VELHA,COBI DE CIMA,AV CARLOS LINDENBERG,Via Pública
212,57695190,2025-05-04T00:00:00,22:41,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,46,1 - Masculino,Negra,AFONSO CLAUDIO,CENTRO,RUA JOSE MARTINS DA SILVA,Via Pública
213,57688971,2025-05-04T00:00:00,16:30,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES, ,1 - Masculino,Prejudicado,VILA VELHA,XURY,ROD BR 101,Unidade Prisional
214,57690190,2025-05-04T00:00:00,14:02,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,33,1 - Masculino,Parda,SERRA,BAIRRO DAS LARANJEIRAS,RUA PRIMAVERA,Via Pública
215,57687369,2025-05-04T00:00:00,08:42,CRIMES CONTRA A PESSOA,Feminicídio,ES,38,2 - Feminino,Branca,CARIACICA,BOA SORTE,RUA ROLINHA,Curso D'água
216,57701325,2025-06-04T00:00:00,18:31,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,26,1 - Masculino,Parda,ECOPORANGA,VILA NOVA,RUA NÃO CADASTRADA,Via Pública
217,57701303,2025-06-04T00:00:00,18:26,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,50,1 - Masculino,Parda,LINHARES,NOVA ESPERANÇA,RUA NÃO CADASTRADA,Via Pública
218,57699210,2025-06-04T00:00:00,12:30,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,27,1 - Masculino,Parda,VILA VELHA,JABURUNA,ESC MARIA VALADARES,Via Pública
219,57710889,2025-07-04T00:00:00,20:39,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,65,1 - Masculino,Parda,LINHARES,AVISO,RUA LASTENIO CALMON,Via Pública
220,57714108,2025-08-04T00:00:00,10:18,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES, ,1 - Masculino,Prejudicado,VILA VELHA,CENTRO,RUA DR ANTONIO ATAIDE,Terreno Baldio / Construção / Mata
221,57721572,2025-09-04T00:00:00,02:14,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,24,1 - Masculino,Branca,VIANA,BOM PASTOR,RUA SUMARE,Domicílio
222,57721572,2025-09-04T00:00:00,02:14,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,33,1 - Masculino,Parda,VIANA,BOM PASTOR,RUA SUMARE,Domicílio
